season,celebrity_name,celebrity_industry,industry_group,age,age_bucket,celebrity_homecountry_region,celebrity_homestate,is_us,ballroom_partner,avg_score_rate,avg_voting_rate,base_popularity,placement,season_size,placement_encoded,pro_strength,age_young,age_mid,age_senior,indgrp_Athletic,indgrp_Performance,indgrp_Media,indgrp_Other
1,Evander Holyfield,Athlete,Athletic,42,mid,United States,Alabama,1,Edyta Sliwinska,0.5,0.10701737271983139,0.0955236264448548,5,6,0.33333333333333337,0.4724139819835949,0,1,0,1,0,0,0
1,Joey McIntyre,Singer/Rapper,Performance,32,mid,United States,Massachusetts,1,Ashly DelGrosso,0.7033333333333334,0.25216507905143065,0.2325472661704689,3,6,0.6666666666666667,0.3282377251839976,0,1,0,0,1,0,0
1,John O'Hurley,Actor/Actress,Performance,50,mid,United States,Maine,1,Charlotte Jorgensen,0.8055555555555555,0.32692056777944634,0.2995581007857626,2,6,0.8333333333333334,0.9003721314996378,0,1,0,0,1,0,0
1,Kelly Monaco,Actor/Actress,Performance,29,young,United States,Pennsylvania,1,Alec Mazo,0.7111111111111111,0.3740818609489761,0.3466050192813653,1,6,1.0,0.5001238357533935,1,0,0,0,1,0,0
1,Rachel Hunter,Model,Performance,35,mid,New Zealand,,0,Jonathan Roberts,0.7916666666666667,0.06747905401001726,0.0256774542406762,4,6,0.5,0.4561870399050518,0,1,0,0,1,0,0
1,Trista Sutter,TV Personality,Media,32,mid,United States,Indiana,1,Louis van Amstel,0.6166666666666667,0.0230231404623033,8.853307687200543e-05,6,6,0.16666666666666663,0.5684428409210787,0,1,0,0,0,1,0
2,Drew Lachey,Singer/Rapper,Performance,29,young,United States,Ohio,1,Cheryl Burke,0.9145825,0.2500501451302025,0.2380190347083467,1,10,1.0,0.7217516093455022,1,0,0,0,1,0,0
2,George Hamilton,Actor/Actress,Performance,66,senior,United States,Tennessee,1,Edyta Sliwinska,0.7222222222222222,0.0982815928263336,0.0852330717300252,5,10,0.6,0.4724139819835949,0,0,1,0,1,0,0
2,Giselle Fernandez,News Anchor,Media,44,mid,Mexico,,0,Jonathan Roberts,0.7666666666666666,0.02242243829141617,0.0016158457248880997,8,10,0.30000000000000004,0.4561870399050518,0,1,0,0,0,1,0
2,Jerry Rice,Athlete,Athletic,43,mid,United States,Mississippi,1,Anna Trebunskaya,0.7506941666666667,0.3259399968314754,0.3283157044269648,2,10,0.9,0.5093750394883365,0,1,0,1,0,0,0
2,Kenny Mayne,Sports Broadcaster,Media,46,mid,United States,Washington,1,Andrea Hale,0.4333333333333333,0.0105690684148836,9.172837586863284e-05,10,10,0.09999999999999998,0.010914927768860315,0,1,0,0,0,1,0
2,Lisa Rinna,Actor/Actress,Performance,42,mid,United States,California,1,Louis van Amstel,0.8023809523809524,0.1034227954088971,0.0858501085719889,4,10,0.7,0.5684428409210787,0,1,0,0,1,0,0
2,Master P,Singer/Rapper,Performance,35,mid,United States,Louisiana,1,Ashly DelGrosso,0.41666666666666663,0.07901823942076817,0.076762570390987,7,10,0.4,0.3282377251839976,0,1,0,0,1,0,0
2,Stacy Keibler,Athlete,Athletic,26,young,United States,Maryland,1,Tony Dovolani,0.9173604166666667,0.17785294240573923,0.1591023035988701,3,10,0.8,0.5490135348123275,1,0,0,1,0,0,0
2,Tatum O'Neal,Actor/Actress,Performance,42,mid,United States,California,1,Nick Kosovich,0.6666666666666667,0.019378405953816402,0.0007957371153266,9,10,0.19999999999999996,0.46437076123082444,0,1,0,0,1,0,0
2,Tia Carrere,Actor/Actress,Performance,39,mid,United States,Hawaii,1,Maksim Chmerkoskiy,0.7666666666666666,0.04458800947210806,0.0242138953567337,6,10,0.5,0.7335803208570171,0,1,0,0,1,0,0
3,Emmitt Smith,Athlete,Athletic,37,mid,United States,Florida,1,Cheryl Burke,0.8588886666666667,0.375952150617034,0.3764716112652029,1,11,1.0,0.7217516093455022,0,1,0,1,0,0,0
3,Harry Hamlin,Actor/Actress,Performance,54,mid,United States,California,1,Ashly DelGrosso,0.6666666666666666,0.024985689809722433,0.0098449220342888,9,11,0.2727272727272727,0.3282377251839976,0,1,0,0,1,0,0
3,Jerry Springer,TV Personality,Media,62,senior,England,,0,Kym Johnson,0.680952380952381,0.07569607432169181,0.0634740064587724,5,11,0.6363636363636364,0.6535080209879351,0,0,1,0,0,1,0
3,Joey Lawrence,Actor/Actress,Performance,30,mid,United States,Pennsylvania,1,Edyta Sliwinska,0.8629629629629629,0.1401903147463077,0.1283815986635589,3,11,0.8181818181818181,0.4724139819835949,0,1,0,0,1,0,0
3,Mario Lopez,Actor/Actress,Performance,32,mid,United States,California,1,Karina Smirnoff,0.8955553333333333,0.2656970433666289,0.2561739337121201,2,11,0.9090909090909091,0.6247749615162423,0,1,0,0,1,0,0
3,Monique Coleman,Actor/Actress,Performance,25,young,United States,South Carolina,1,Louis van Amstel,0.83125,0.0949664966041339,0.0782511124097295,4,11,0.7272727272727273,0.5684428409210787,1,0,0,0,1,0,0
3,Sara Evans,Singer/Rapper,Performance,35,mid,United States,Missouri,1,Tony Dovolani,0.7,0.059480851221009504,0.0462603879530435,6,11,0.5454545454545454,0.5490135348123275,0,1,0,0,1,0,0
3,Shanna Moakler,Model,Performance,31,mid,United States,Rhode Island,1,Jesse DeSoto,0.6666666666666666,0.012360516534669599,0.0005116329225425,10,11,0.18181818181818177,0.3210109726887554,0,1,0,0,1,0,0
3,Tucker Carlson,TV Personality,Media,37,mid,United States,California,1,Elena Grinenko,0.4,0.0079666379728349,9.143840327314644e-05,11,11,0.09090909090909094,0.12358113353210973,0,1,0,0,0,1,0
3,Vivica A. Fox,Actor/Actress,Performance,42,mid,United States,Indiana,1,Nick Kosovich,0.8083333333333333,0.024592335564913276,0.0053857818950889,8,11,0.36363636363636365,0.46437076123082444,0,1,0,0,1,0,0
3,Willa Ford,Singer/Rapper,Performance,25,young,United States,Florida,1,Maksim Chmerkoskiy,0.8133333333333332,0.052622796782283245,0.035153574282379,7,11,0.4545454545454546,0.7335803208570171,1,0,0,0,1,0,0
4,Apolo Anton Ohno,Athlete,Athletic,24,young,United States,Washington,1,Julianne Hough,0.8961106666666666,0.3016301659471849,0.2934407097060059,1,11,1.0,0.8193986249191303,1,0,0,1,0,0,0
4,Billy Ray Cyrus,Singer/Rapper,Performance,45,mid,United States,Kentucky,1,Karina Smirnoff,0.6333333333333333,0.09827170460554392,0.0883505322395565,5,11,0.6363636363636364,0.6247749615162423,0,1,0,0,1,0,0
4,Clyde Drexler,Athlete,Athletic,44,mid,United States,Louisiana,1,Elena Grinenko,0.52,0.05475754311541565,0.0462687537886638,8,11,0.36363636363636365,0.12358113353210973,0,1,0,1,0,0,0
4,Heather Mills,Model,Performance,39,mid,England,,0,Jonathan Roberts,0.7388888888888889,0.02952853872858694,0.0099682382084976,7,11,0.4545454545454546,0.4561870399050518,0,1,0,0,1,0,0
4,Ian Ziering,Actor/Actress,Performance,42,mid,United States,New Jersey,1,Cheryl Burke,0.8092592592592592,0.1129410804462233,0.0966695796939517,4,11,0.7272727272727273,0.7217516093455022,0,1,0,0,1,0,0
4,Joey Fatone,Singer/Rapper,Performance,30,mid,United States,New York,1,Kym Johnson,0.8922216666666667,0.23687292768424165,0.2244957990979673,2,11,0.9090909090909091,0.6535080209879351,0,1,0,0,1,0,0
4,John Ratzenberger,Actor/Actress,Performance,59,senior,United States,Connecticut,1,Edyta Sliwinska,0.6357142857142858,0.06455958796728906,0.0520807337617848,6,11,0.5454545454545454,0.4724139819835949,0,0,1,0,1,0,0
4,Laila Ali,Athlete,Athletic,29,young,United States,Florida,1,Maksim Chmerkoskiy,0.8744439999999999,0.18804607093238634,0.1732560347382342,3,11,0.8181818181818181,0.7335803208570171,1,0,0,1,0,0,0
4,Leeza Gibbons,TV Personality,Media,50,mid,United States,South Carolina,1,Tony Dovolani,0.6333333333333333,0.022901867372656867,0.0065756297362102,9,11,0.2727272727272727,0.5490135348123275,0,1,0,0,0,1,0
4,Paulina Porizkova,Model,Performance,41,mid,Czechoslovakia,,0,Alec Mazo,0.6666666666666666,0.0050944714623856,9.074643915360984e-05,11,11,0.09090909090909094,0.5001238357533935,0,1,0,0,1,0,0
4,Shandi Finnessey,Beauty Pagent,Performance,28,young,United States,Missouri,1,Brian Fortuna,0.6666666666666666,0.02089823781419975,0.0088032425899743,10,11,0.18181818181818177,0.3210109726887554,1,0,0,0,1,0,0
5,Albert Reed,Model,Performance,22,young,United States,Florida,1,Anna Trebunskaya,0.7,0.01146296022628695,0.0007228797720564,11,12,0.16666666666666663,0.5093750394883365,1,0,0,0,1,0,0
5,Cameron Mathison,Actor/Actress,Performance,38,mid,Canada,,0,Edyta Sliwinska,0.8083333333333333,0.08137621022232712,0.0667627224263534,5,12,0.6666666666666667,0.4724139819835949,0,1,0,0,1,0,0
5,Floyd Mayweather Jr. ,Athlete,Athletic,30,mid,United States,Michigan,1,Karina Smirnoff,0.6916666666666667,0.026690995573325774,0.0123998577519438,9,12,0.33333333333333337,0.6247749615162423,0,1,0,1,0,0,0
5,Helio Castroneves,Racing Driver,Athletic,32,mid,Brazil,,0,Julianne Hough,0.888333,0.28385505910046704,0.2776347804368394,1,12,1.0,0.8193986249191303,0,1,0,1,0,0,0
5,Jane Seymour,Actor/Actress,Performance,56,senior,England,,0,Tony Dovolani,0.8142857142857143,0.06259288216185208,0.0472878137947438,6,12,0.5833333333333333,0.5490135348123275,0,0,1,0,1,0,0
5,Jennie Garth,Actor/Actress,Performance,35,mid,United States,Illinois,1,Derek Hough,0.8425925925925927,0.12030094378056266,0.106873967504099,4,12,0.75,1.0,0,1,0,0,1,0,0
5,Josie Maran,Model,Performance,29,young,United States,California,1,Alec Mazo,0.5333333333333333,0.0063966968198815,9.101239787909952e-05,12,12,0.08333333333333337,0.5001238357533935,1,0,0,0,1,0,0
5,Marie Osmond,Singer/Rapper,Performance,47,mid,United States,Utah,1,Jonathan Roberts,0.8083333333333333,0.21066467677295667,0.2045415627611627,3,12,0.8333333333333334,0.4561870399050518,0,1,0,0,1,0,0
5,Mark Cuban,TV Personality,Media,49,mid,United States,Pennsylvania,1,Kym Johnson,0.6799999999999999,0.04669569899935298,0.0346460160447929,8,12,0.41666666666666663,0.6535080209879351,0,1,0,0,0,1,0
5,Mel B,Singer/Rapper,Performance,32,mid,England,,0,Maksim Chmerkoskiy,0.9077773333333333,0.21964281290624035,0.20865631537936008,2,12,0.9166666666666666,0.7335803208570171,0,1,0,0,1,0,0
5,Sabrina Bryan,Actor/Actress,Performance,23,young,United States,California,1,Mark Ballas,0.9,0.03449144298731765,0.0144513589199542,7,12,0.5,0.8159248600498087,1,0,0,0,1,0,0
5,Wayne Newton,Singer/Rapper,Performance,65,senior,United States,Virginia,1,Cheryl Burke,0.5777777777777778,0.03666413626009254,0.025931712810815005,10,12,0.25,0.7217516093455022,0,0,1,0,1,0,0
6,Adam Carolla,Radio Personality,Media,43,mid,United States,California,1,Julianne Hough,0.6166666666666667,0.0233361142280554,0.0092528267153239,9,12,0.33333333333333337,0.8193986249191303,0,1,0,0,0,1,0
6,Cristian de la Fuente,Actor/Actress,Performance,34,mid,Chile,,0,Cheryl Burke,0.825,0.2022641423430166,0.1954351435695723,3,12,0.8333333333333334,0.7217516093455022,0,1,0,0,1,0,0
6,Jason Taylor,Athlete,Athletic,33,mid,United States,Pennsylvania,1,Edyta Sliwinska,0.8716666666666667,0.23946457708294724,0.2333993301570214,2,12,0.9166666666666666,0.4724139819835949,0,1,0,1,0,0,0
6,Kristi Yamaguchi,Athlete,Athletic,36,mid,United States,California,1,Mark Ballas,0.9400000000000001,0.2962124619789929,0.2922410330604142,1,12,1.0,0.8159248600498087,0,1,0,1,0,0,0
6,Mario,Singer/Rapper,Performance,21,young,United States,Maryland,1,Karina Smirnoff,0.8416666666666667,0.07897117383759991,0.0625134634138409,5,12,0.6666666666666667,0.6247749615162423,1,0,0,0,1,0,0
6,Marissa Jaret Winokur,Actor/Actress,Performance,35,mid,United States,New York,1,Tony Dovolani,0.7740740740740741,0.1279384403304227,0.11749103072103069,4,12,0.75,0.5490135348123275,0,1,0,0,1,0,0
6,Marlee Matlin,Actor/Actress,Performance,42,mid,United States,Illinois,1,Fabian Sanchez,0.7444444444444445,0.0452813067845884,0.0309803406388343,7,12,0.5,0.6148914238700407,0,1,0,0,1,0,0
6,Monica Seles,Athlete,Athletic,34,mid,Yugoslavia,,0,Jonathan Roberts,0.5,0.0071487805311496,9.236566665488932e-05,11,12,0.16666666666666663,0.4561870399050518,0,1,0,1,0,0,0
6,Penn Jillette,Magician,Performance,53,mid,United States,Massachusetts,1,Kym Johnson,0.55,0.0178659075951125,0.0068042337709313,12,12,0.08333333333333337,0.6535080209879351,0,1,0,0,1,0,0
6,Priscilla Presley,Actor/Actress,Performance,62,senior,United States,New York,1,Louis van Amstel,0.76,0.026543036681573498,0.0102369034133918,8,12,0.41666666666666663,0.5684428409210787,0,0,1,0,1,0,0
6,Shannon Elizabeth,Actor/Actress,Performance,34,mid,United States,Texas,1,Derek Hough,0.8071428571428572,0.054474092002879095,0.0377458847167529,6,12,0.5833333333333333,1.0,0,1,0,0,1,0,0
6,Steve Guttenberg,Actor/Actress,Performance,49,mid,United States,New York,1,Anna Trebunskaya,0.611111111111111,0.013888682185929199,0.0038074441562308005,10,12,0.25,0.5093750394883365,0,1,0,0,1,0,0
7,Brooke Burke,TV Personality,Media,37,mid,United States,Connecticut,1,Derek Hough,0.8983333333333332,0.2968336338697746,0.2890992175054901,1,13,1.0,1.0,0,1,0,0,0,1,0
7,Cloris Leachman,Actor/Actress,Performance,82,senior,United States,Iowa,1,Corky Ballas,0.5833333333333334,0.05175842416262634,0.0406568194438991,7,13,0.5384615384615384,0.45239751691823943,0,0,1,0,1,0,0
7,Cody Linley,Actor/Actress,Performance,18,young,United States,Texas,1,Julianne Hough,0.7611111111111111,0.12983819997949747,0.1175742758974362,4,13,0.7692307692307692,0.8193986249191303,1,0,0,0,1,0,0
7,Jeffrey Ross,Comedian,Performance,43,mid,United States,New Jersey,1,Edyta Sliwinska,0.4,0.0069116893381522,9.114279430534176e-05,13,13,0.07692307692307687,0.4724139819835949,0,1,0,0,1,0,0
7,Kim Kardashian,TV Personality,Media,27,young,United States,California,1,Mark Ballas,0.5916666666666667,0.0114922900614574,0.0007289794877663,11,13,0.23076923076923073,0.8159248600498087,1,0,0,0,0,1,0
7,Lance Bass,Singer/Rapper,Performance,29,young,United States,Mississippi,1,Lacey Schwimmer,0.8116666666666668,0.18858522273989076,0.1762722579755802,3,13,0.8461538461538461,0.6024439452637469,1,0,0,0,1,0,0
7,Maurice Greene,Athlete,Athletic,34,mid,United States,Kansas,1,Cheryl Burke,0.7479166666666667,0.07672441308289224,0.0617414369076612,5,13,0.6923076923076923,0.7217516093455022,0,1,0,1,0,0,0
7,Misty May-Treanor,Athlete,Athletic,31,mid,United States,California,1,Maksim Chmerkoskiy,0.7,0.02691083781263335,0.0118839139156554,10,13,0.3076923076923077,0.7335803208570171,0,1,0,1,0,0,0
7,Rocco DiSpirito,TV Personality,Media,41,mid,United States,New York,1,Karina Smirnoff,0.5958333333333333,0.024404874475525265,0.0112772051065425,9,13,0.3846153846153846,0.6247749615162423,0,1,0,0,0,1,0
7,Susan Lucci,Actor/Actress,Performance,61,senior,United States,New York,1,Tony Dovolani,0.730952380952381,0.04903780718846625,0.0320799379254816,6,13,0.6153846153846154,0.5490135348123275,0,0,1,0,1,0,0
7,Ted McGinley,Actor/Actress,Performance,50,mid,United States,California,1,Inna Brayer,0.6166666666666667,0.0238495013342144,0.0112228193868885,12,13,0.15384615384615385,0.24772499731773362,0,1,0,0,1,0,0
7,Toni Braxton,Singer/Rapper,Performance,40,mid,United States,Maryland,1,Alec Mazo,0.7433333333333334,0.023649008014838074,0.0062851410940727,8,13,0.46153846153846156,0.5001238357533935,0,1,0,0,1,0,0
7,Warren Sapp,Athlete,Athletic,35,mid,United States,Florida,1,Kym Johnson,0.8083333333333333,0.2474507481384855,0.2410868525592203,2,13,0.9230769230769231,0.6535080209879351,0,1,0,1,0,0,0
8,Belinda Carlisle,Singer/Rapper,Performance,50,mid,United States,California,1,Jonathan Roberts,0.5833333333333333,0.0032933008983636,8.914398324858915e-05,13,13,0.07692307692307687,0.4561870399050518,0,1,0,0,1,0,0
8,Chuck Wicks,Singer/Rapper,Performance,29,young,United States,Delaware,1,Julianne Hough,0.7645833333333334,0.04866346593857237,0.0315675640070005,6,13,0.6153846153846154,0.8193986249191303,1,0,0,0,1,0,0
8,David Alan Grier,Actor/Actress,Performance,52,mid,United States,Michigan,1,Kym Johnson,0.6933333333333334,0.021617208144821626,0.0069630254365709,9,13,0.3846153846153846,0.6535080209879351,0,1,0,0,1,0,0
8,Denise Richards,Actor/Actress,Performance,38,mid,United States,Illinois,1,Maksim Chmerkoskiy,0.611111111111111,0.01023603806781445,8.914398324858914e-05,12,13,0.15384615384615385,0.7335803208570171,0,1,0,0,1,0,0
8,Gilles Marini,Actor/Actress,Performance,33,mid,France,,0,Cheryl Burke,0.9227272727272727,0.23134064947211774,0.2161665053342757,2,13,0.9230769230769231,0.7217516093455022,0,1,0,0,1,0,0
8,Holly Madison,TV Personality,Media,30,mid,United States,Oregon,1,Dmitry Chaplin,0.575,0.023824355058490898,0.0127500089943705,11,13,0.23076923076923073,0.620430885915805,0,1,0,0,0,1,0
8,Lawrence Taylor,Athlete,Athletic,50,mid,United States,Virginia,1,Edyta Sliwinska,0.6571428571428571,0.04418105839152656,0.0303167499335712,7,13,0.5384615384615384,0.4724139819835949,0,1,0,1,0,0,0
8,Lil' Kim,Singer/Rapper,Performance,34,mid,United States,New York,1,Derek Hough,0.8518518518518519,0.07115578660795432,0.0521640800079636,5,13,0.6923076923076923,1.0,0,1,0,0,1,0,0
8,Melissa Rycroft,TV Personality,Media,26,young,United States,Texas,1,Tony Dovolani,0.8893939393939394,0.18924667310561838,0.1739924624082314,3,13,0.8461538461538461,0.5490135348123275,1,0,0,0,0,1,0
8,Shawn Johnson,Athlete,Athletic,17,young,United States,Iowa,1,Mark Ballas,0.8818181818181817,0.2864810709721889,0.2750017538056221,1,13,1.0,0.8159248600498087,1,0,0,1,0,0,0
8,Steve Wozniak,Entrepreneur,Other,58,senior,United States,California,1,Karina Smirnoff,0.43333333333333335,0.04644353409599503,0.0400545102135107,10,13,0.3076923076923077,0.6247749615162423,0,0,1,0,0,0,1
8,Steve-O,TV Personality,Media,34,mid,England,,0,Lacey Schwimmer,0.5277777777777778,0.04948165974094112,0.040476738248457,8,13,0.46153846153846156,0.6024439452637469,0,1,0,0,0,1,0
8,Ty Murray,Athlete,Athletic,39,mid,United States,Arizona,1,Chelsie Hightower,0.7266666666666667,0.13176588710405637,0.120368313643929,4,13,0.7692307692307692,0.586374427822983,0,1,0,1,0,0,0
9,Aaron Carter,Singer/Rapper,Performance,21,young,United States,Florida,1,Karina Smirnoff,0.8604154166666667,0.06004628857813527,0.0457773467284529,5,16,0.75,0.6247749615162423,1,0,0,0,1,0,0
9,Ashley Hamiliton,Actor/Actress,Performance,34,mid,United States,California,1,Edyta Sliwinska,0.6333300000000001,0.0071936474426203,9.126917923655046e-05,16,16,0.0625,0.4724139819835949,0,1,0,0,1,0,0
9,Chuck Liddell,Athlete,Athletic,39,mid,United States,California,1,Anna Trebunskaya,0.625,0.016449952954006926,0.0062558953818062,11,16,0.375,0.5093750394883365,0,1,0,1,0,0,0
9,Debi Mazar,Actor/Actress,Performance,45,mid,United States,New York,1,Maksim Chmerkoskiy,0.6666666666666666,0.018036632326002902,0.0072429385785945,12,16,0.3125,0.7335803208570171,0,1,0,0,1,0,0
9,Donny Osmond,Singer/Rapper,Performance,51,mid,United States,Utah,1,Kym Johnson,0.8822206666666667,0.28861889030067767,0.2879330119839796,1,16,1.0,0.6535080209879351,0,1,0,0,1,0,0
9,Joanna Krupa,Model,Performance,30,mid,Poland,,0,Derek Hough,0.901851111111111,0.10166218466257648,0.0880328992823903,4,16,0.8125,1.0,0,1,0,0,1,0,0
9,Kathy Ireland,Model,Performance,46,mid,United States,California,1,Tony Dovolani,0.6333316666666666,0.007478130607824199,0.0011015313430017,14,16,0.1875,0.5490135348123275,0,1,0,0,1,0,0
9,Kelly Osbourne,TV Personality,Media,24,young,England,,0,Louis van Amstel,0.8157386666666667,0.19638802910451808,0.191425655453537,3,16,0.875,0.5684428409210787,1,0,0,0,0,1,0
9,Louie Vito,Athlete,Athletic,21,young,United States,Ohio,1,Chelsie Hightower,0.71111,0.04428021598649388,0.03479568158864,8,16,0.5625,0.586374427822983,1,0,0,1,0,0,0
9,Macy Gray,Singer/Rapper,Performance,42,mid,United States,Ohio,1,Jonathan Roberts,0.6333300000000001,0.007208316176495,9.126917923655046e-05,15,16,0.125,0.4561870399050518,0,1,0,0,1,0,0
9,Mark Dacascos,Actor/Actress,Performance,45,mid,United States,Hawaii,1,Lacey Schwimmer,0.8071419047619048,0.043282830873696714,0.0304073336930099,6,16,0.6875,0.6024439452637469,0,1,0,0,1,0,0
9,Melissa Joan Hart,Actor/Actress,Performance,33,mid,United States,New York,1,Mark Ballas,0.7611105555555556,0.0353321132048037,0.0232928006516686,9,16,0.5,0.8159248600498087,0,1,0,0,1,0,0
9,Michael Irvin,Athlete,Athletic,43,mid,United States,Florida,1,Anna Demidova,0.6452371428571428,0.06477151615897518,0.0577019570805673,7,16,0.625,0.5876903996672533,0,1,0,1,0,0,0
9,Mya,Singer/Rapper,Performance,29,young,United States,Washington D.C.,1,Dmitry Chaplin,0.9477766666666666,0.22314321645850135,0.2148709783453767,2,16,0.9375,0.620430885915805,1,0,0,0,1,0,0
9,Natalie Coughlin,Athlete,Athletic,27,young,United States,California,1,Alec Mazo,0.7999986666666666,0.01767660647763576,0.0033330992565656,10,16,0.4375,0.5001238357533935,1,0,0,1,0,0,0
9,Tom DeLay,Politician,Other,62,senior,United States,Texas,1,Cheryl Burke,0.5888877777777778,0.017154433460428036,0.007646332273936,13,16,0.25,0.7217516093455022,0,0,1,0,0,0,1
